"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Município";"Ano x Produto das lavouras temporárias e permanentes"
"Município";"2024"
"Município";"Total";"Café (em grão) Total";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)"
"Getúlio Vargas (RS)";"24618";"-";"-";"3000";"15000"
"Giruá (RS)";"107601";"-";"50";"7000";"62000"
"Glorinha (RS)";"4404";"-";"15";"90";"3150"
"Gramado (RS)";"948";"-";"14";"630";"-"
"Gramado dos Loureiros (RS)";"8284";"-";"40";"650";"6100"
"Gramado Xavier (RS)";"8598";"-";"-";"1500";"4800"
"Gravataí (RS)";"1565";"-";"15";"150";"810"
"Guabiju (RS)";"8424";"-";"-";"1500";"6000"
"Guaíba (RS)";"6815";"-";"-";"300";"1837"
"Guaporé (RS)";"8281";"-";"31";"2500";"4000"
"Guarani das Missões (RS)";"26415";"-";"70";"2750";"15010"
"Harmonia (RS)";"1563";"-";"20";"70";"-"
"Herveiras (RS)";"2884";"-";"-";"450";"780"
"Horizontina (RS)";"20526";"-";"10";"3150";"12000"
"Hulha Negra (RS)";"20179";"-";"-";"1562";"16500"
"Humaitá (RS)";"13619";"-";"15";"1350";"7150"
"Ibarama (RS)";"6637";"-";"150";"2000";"1300"
"Ibiaçá (RS)";"31375";"-";"3";"4000";"20000"
"Ibiraiaras (RS)";"19290";"-";"-";"3200";"12000"
"Ibirapuitã (RS)";"23510";"-";"5";"250";"17000"
"Ibirubá (RS)";"62890";"-";"12";"2000";"44200"
"Igrejinha (RS)";"198";"-";"22";"40";"16"
"Ijuí (RS)";"61306";"-";"40";"650";"40700"
"Ilópolis (RS)";"7320";"-";"3";"900";"80"
"Imbé (RS)";"152";"-";"-";"-";"150"
"Imigrante (RS)";"413";"-";"30";"100";"120"
"Independência (RS)";"39185";"-";"5";"5600";"22000"
"Inhacorá (RS)";"13588";"-";"5";"1350";"7200"
"Ipê (RS)";"12364";"-";"6";"2800";"7700"
"Ipiranga do Sul (RS)";"18741";"-";"-";"1042";"10560"
"Iraí (RS)";"9930";"-";"100";"1500";"5500"
"Itaara (RS)";"3893";"-";"1";"420";"3100"
"Itacurubi (RS)";"33590";"-";"15";"1404";"25850"
"Itapuca (RS)";"8998";"-";"15";"750";"6000"
"Itaqui (RS)";"137381";"-";"-";"15000";"50000"
"Itati (RS)";"546";"-";"120";"15";"-"
"Itatiba do Sul (RS)";"4461";"-";"165";"1500";"1100"
"Ivorá (RS)";"5860";"-";"27";"600";"4000"
"Ivoti (RS)";"323";"-";"90";"120";"-"
"Jaboticaba (RS)";"14009";"-";"30";"1000";"6300"
"Jacuizinho (RS)";"27301";"-";"-";"850";"18200"
"Jacutinga (RS)";"17998";"-";"25";"1750";"12000"
"Jaguarão (RS)";"64165";"-";"-";"600";"45000"
"Jaguari (RS)";"19955";"-";"200";"1450";"13800"
"Jaquirana (RS)";"1321";"-";"-";"450";"670"
"Jari (RS)";"69280";"-";"8";"1700";"54000"
"Jóia (RS)";"120232";"-";"15";"3100";"82900"
"Júlio de Castilhos (RS)";"128052";"-";"5";"3500";"104200"
"Lagoa Bonita do Sul (RS)";"3761";"-";"4";"400";"1811"
"Lagoão (RS)";"15179";"-";"5";"1728";"8500"
"Lagoa dos Três Cantos (RS)";"13220";"-";"3";"680";"9720"
"Lagoa Vermelha (RS)";"68721";"-";"-";"7000";"49000"
"Lajeado (RS)";"1331";"-";"37";"400";"650"
"Lajeado do Bugre (RS)";"6420";"-";"30";"1000";"3000"
"Lavras do Sul (RS)";"62227";"-";"-";"200";"50000"
"Liberato Salzano (RS)";"13756";"-";"70";"1100";"7450"
"Lindolfo Collor (RS)";"403";"-";"72";"150";"-"
"Linha Nova (RS)";"287";"-";"25";"100";"-"
"Machadinho (RS)";"20154";"-";"15";"1100";"12600"
"Maçambará (RS)";"106027";"-";"-";"2500";"61500"
"Mampituba (RS)";"4179";"-";"42";"180";"-"
"Manoel Viana (RS)";"81920";"-";"-";"6500";"55000"
"Maquiné (RS)";"2160";"-";"20";"750";"150"
"Maratá (RS)";"537";"-";"20";"50";"-"
"Marau (RS)";"50422";"-";"10";"2650";"39500"
"Marcelino Ramos (RS)";"10086";"-";"92";"2300";"5500"
"Mariana Pimentel (RS)";"5512";"-";"20";"600";"1000"
"Mariano Moro (RS)";"3688";"-";"8";"1000";"1800"
"Marques de Souza (RS)";"1307";"-";"40";"500";"360"
"Mata (RS)";"8917";"-";"15";"1540";"3500"
"Mato Castelhano (RS)";"14043";"-";"-";"600";"11000"
"Mato Leitão (RS)";"2694";"-";"-";"1500";"700"
"Mato Queimado (RS)";"9987";"-";"2";"1200";"6370"
"Maximiliano de Almeida (RS)";"13012";"-";"35";"800";"8150"
"Minas do Leão (RS)";"16395";"-";"-";"800";"12500"
"Miraguaí (RS)";"8713";"-";"50";"700";"5400"
"Montauri (RS)";"5146";"-";"7";"1000";"3300"
"Monte Alegre dos Campos (RS)";"5852";"-";"-";"340";"2800"
"Monte Belo do Sul (RS)";"2560";"-";"7";"60";"-"
"Montenegro (RS)";"5120";"-";"150";"550";"160"
"Mormaço (RS)";"10563";"-";"2";"150";"8000"
"Morrinhos do Sul (RS)";"4581";"-";"30";"40";"10"
"Morro Redondo (RS)";"3828";"-";"-";"600";"2500"
"Morro Reuter (RS)";"812";"-";"60";"400";"-"
"Mostardas (RS)";"40995";"-";"-";"820";"8000"
"Muçum (RS)";"1098";"-";"35";"500";"360"
"Muitos Capões (RS)";"98604";"-";"-";"15000";"53700"
"Muliterno (RS)";"6083";"-";"-";"600";"3900"
"Não-Me-Toque (RS)";"35202";"-";"4";"3500";"22300"
"Nicolau Vergueiro (RS)";"15671";"-";"-";"150";"10350"
"Nonoai (RS)";"25454";"-";"30";"1800";"15500"
"Nova Alvorada (RS)";"7689";"-";"10";"750";"5150"
"Nova Araçá (RS)";"2157";"-";"1";"1300";"650"
"Nova Bassano (RS)";"6435";"-";"10";"3300";"2500"
"Nova Boa Vista (RS)";"6430";"-";"8";"500";"4500"
"Nova Bréscia (RS)";"535";"-";"20";"300";"-"
"Nova Candelária (RS)";"5257";"-";"10";"1100";"2800"
"Nova Esperança do Sul (RS)";"5241";"-";"40";"400";"4500"
"Nova Hartz (RS)";"199";"-";"20";"30";"-"
"Nova Pádua (RS)";"2297";"-";"-";"220";"-"
"Nova Palma (RS)";"13996";"-";"10";"1200";"10300"
"Nova Petrópolis (RS)";"1657";"-";"6";"1300";"-"
"Nova Prata (RS)";"5612";"-";"4";"1500";"3500"
"Nova Ramada (RS)";"27953";"-";"3";"800";"16330"
"Nova Roma do Sul (RS)";"1988";"-";"20";"350";"50"
"Nova Santa Rita (RS)";"4074";"-";"6";"10";"-"
"Novo Cabrais (RS)";"11222";"-";"5";"1300";"6700"
"Novo Hamburgo (RS)";"3079";"-";"450";"650";"450"
"Novo Machado (RS)";"21092";"-";"26";"6110";"11680"
"Novo Tiradentes (RS)";"5706";"-";"10";"1000";"2600"
"Novo Xingu (RS)";"5643";"-";"10";"500";"3500"
"Novo Barreiro (RS)";"8869";"-";"10";"1200";"5000"
"Osório (RS)";"6734";"-";"15";"120";"2200"
"Paim Filho (RS)";"8431";"-";"5";"1000";"5700"
"Palmares do Sul (RS)";"20961";"-";"-";"210";"7500"
"Palmeira das Missões (RS)";"181434";"-";"142";"14500";"110000"
"Palmitinho (RS)";"2609";"-";"20";"1100";"650"
"Panambi (RS)";"36149";"-";"20";"1000";"26000"
"Pantano Grande (RS)";"30836";"-";"-";"1100";"21900"
"Paraí (RS)";"2971";"-";"15";"1100";"1500"
"Paraíso do Sul (RS)";"13346";"-";"30";"2500";"4000"
"Pareci Novo (RS)";"1167";"-";"6";"-";"-"
"Parobé (RS)";"519";"-";"150";"14";"-"
"Passa Sete (RS)";"10167";"-";"6";"1500";"5000"
"Passo do Sobrado (RS)";"14735";"-";"4";"1200";"10500"
"Passo Fundo (RS)";"55954";"-";"5";"1700";"41000"
"Paulo Bento (RS)";"9797";"-";"-";"1200";"6500"
"Paverama (RS)";"2451";"-";"6";"1100";"800"
"Pedras Altas (RS)";"51824";"-";"-";"220";"48500"
"Pedro Osório (RS)";"14378";"-";"-";"150";"11000"
"Pejuçara (RS)";"51215";"-";"10";"2650";"29400"
"Pelotas (RS)";"49619";"-";"-";"6480";"28372"
"Picada Café (RS)";"401";"-";"10";"250";"-"
"Pinhal (RS)";"3286";"-";"25";"900";"1200"
"Pinhal da Serra (RS)";"12045";"-";"2";"2100";"7800"
"Pinhal Grande (RS)";"25466";"-";"5";"1630";"21350"
"Pinheirinho do Vale (RS)";"2812";"-";"15";"900";"1000"
"Pinheiro Machado (RS)";"15477";"-";"-";"520";"12000"
"Pinto Bandeira (RS)";"3076";"-";"5";"170";"-"
"Pirapó (RS)";"11064";"-";"10";"700";"7374"
"Piratini (RS)";"55619";"-";"-";"2000";"50000"
"Planalto (RS)";"6625";"-";"180";"1100";"3000"
"Poço das Antas (RS)";"318";"-";"110";"115";"-"
"Pontão (RS)";"42783";"-";"2";"3200";"33500"
"Ponte Preta (RS)";"6498";"-";"5";"550";"5300"
"Portão (RS)";"1451";"-";"10";"250";"450"
"Porto Alegre (RS)";"1043";"-";"10";"20";"450"
"Porto Lucena (RS)";"7487";"-";"20";"1550";"4500"
"Porto Mauá (RS)";"6024";"-";"10";"1600";"3300"
"Porto Vera Cruz (RS)";"1748";"-";"100";"550";"650"
"Porto Xavier (RS)";"4426";"-";"300";"1050";"1815"
"Pouso Novo (RS)";"669";"-";"-";"400";"45"
"Presidente Lucena (RS)";"622";"-";"260";"50";"-"
"Progresso (RS)";"3029";"-";"10";"1400";"100"
"Protásio Alves (RS)";"3296";"-";"6";"715";"2230"
"Putinga (RS)";"4035";"-";"25";"1500";"500"
"Quaraí (RS)";"11612";"-";"-";"80";"960"
"Quatro Irmãos (RS)";"23486";"-";"-";"1800";"16700"
"Quevedos (RS)";"31865";"-";"-";"490";"30000"
"Quinze de Novembro (RS)";"13609";"-";"10";"250";"10050"
"Redentora (RS)";"23273";"-";"30";"2500";"13000"
"Relvado (RS)";"1421";"-";"15";"1000";"200"
"Restinga Sêca (RS)";"41757";"-";"25";"800";"26250"
"Rio dos Índios (RS)";"13462";"-";"70";"1400";"8400"
"Rio Grande (RS)";"34382";"-";"-";"600";"16672"
"Rio Pardo (RS)";"91636";"-";"15";"4000";"73370"
"Riozinho (RS)";"398";"-";"62";"120";"-"
"Roca Sales (RS)";"5083";"-";"215";"1800";"1950"
"Rodeio Bonito (RS)";"7640";"-";"30";"2100";"3600"
"Rolador (RS)";"23489";"-";"5";"2200";"13960"
"Rolante (RS)";"2146";"-";"270";"500";"2"
"Ronda Alta (RS)";"36724";"-";"10";"2500";"26000"
"Rondinha (RS)";"15465";"-";"10";"500";"12107"
"Roque Gonzales (RS)";"14616";"-";"100";"2517";"8317"
"Rosário do Sul (RS)";"78479";"-";"-";"900";"60000"
"Sagrada Família (RS)";"6443";"-";"12";"1500";"3000"
"Saldanha Marinho (RS)";"20658";"-";"4";"1700";"13286"
"Salto do Jacuí (RS)";"32473";"-";"4";"1600";"24500"
"Salvador das Missões (RS)";"6520";"-";"13";"800";"3533"
"Salvador do Sul (RS)";"945";"-";"27";"732";"-"
"Sananduva (RS)";"30335";"-";"65";"2500";"23400"
"Santa Bárbara do Sul (RS)";"112420";"-";"5";"6500";"75000"
"Santa Cecília do Sul (RS)";"13456";"-";"2";"960";"9930"
"Santa Clara do Sul (RS)";"2628";"-";"30";"1000";"950"
"Santa Cruz do Sul (RS)";"15556";"-";"190";"4260";"3200"
"Santa Maria (RS)";"58489";"-";"5";"1140";"50000"
"Santa Maria do Herval (RS)";"1689";"-";"10";"700";"15"
"Santa Margarida do Sul (RS)";"57660";"-";"-";"200";"45000"
"Santana da Boa Vista (RS)";"33732";"-";"-";"1600";"30000"
"Sant'Ana do Livramento (RS)";"96678";"-";"-";"3600";"80000"
"Santa Rosa (RS)";"33356";"-";"120";"3064";"20064"
"Santa Tereza (RS)";"965";"-";"25";"100";"-"
"Santa Vitória do Palmar (RS)";"120360";"-";"-";"250";"51989"
"Santiago (RS)";"67962";"-";"200";"2773";"57281"
"Santo Ângelo (RS)";"54696";"-";"20";"3750";"36300"
"Santo Antônio do Palma (RS)";"5430";"-";"-";"400";"4000"
"Santo Antônio da Patrulha (RS)";"26884";"-";"200";"2000";"11000"
"Santo Antônio das Missões (RS)";"94864";"-";"105";"7500";"63500"
"Santo Antônio do Planalto (RS)";"18818";"-";"1";"1260";"14000"
"Santo Augusto (RS)";"54893";"-";"5";"5000";"33300"
"Santo Cristo (RS)";"13280";"-";"60";"3525";"7028"
"Santo Expedito do Sul (RS)";"11538";"-";"-";"1200";"5600"
"São Borja (RS)";"182005";"-";"-";"15000";"105000"
"São Domingos do Sul (RS)";"3386";"-";"1";"500";"2300"
"São Francisco de Assis (RS)";"70992";"-";"12";"1300";"57000"
"São Francisco de Paula (RS)";"17526";"-";"-";"4000";"7600"
"São Gabriel (RS)";"176420";"-";"-";"4000";"137000"
"São Jerônimo (RS)";"11016";"-";"-";"700";"6150"
"São João da Urtiga (RS)";"9460";"-";"20";"1140";"6520"
"São João do Polêsine (RS)";"3020";"-";"35";"70";"700"
"São Jorge (RS)";"4095";"-";"2";"1800";"1800"
"São José das Missões (RS)";"8296";"-";"100";"1000";"4500"
"São José do Herval (RS)";"820";"-";"-";"50";"300"
"São José do Hortêncio (RS)";"1385";"-";"153";"182";"-"
"São José do Inhacorá (RS)";"3696";"-";"6";"450";"2200"
"São José do Norte (RS)";"3655";"-";"-";"500";"100"
"São José do Ouro (RS)";"25413";"-";"10";"2000";"19850"
"São José do Sul (RS)";"1209";"-";"45";"50";"-"
"São José dos Ausentes (RS)";"3950";"-";"-";"1000";"300"
"São Leopoldo (RS)";"53";"-";"4";"4";"-"
"São Lourenço do Sul (RS)";"80041";"-";"-";"12000";"50000"
"São Luiz Gonzaga (RS)";"134819";"-";"35";"14200";"85500"
"São Marcos (RS)";"2019";"-";"-";"350";"-"
"São Martinho (RS)";"21929";"-";"20";"1800";"12100"
"São Martinho da Serra (RS)";"40669";"-";"1";"400";"35500"
"São Miguel das Missões (RS)";"125711";"-";"15";"10500";"74200"
"São Nicolau (RS)";"33316";"-";"6";"3720";"20135"
"São Paulo das Missões (RS)";"7211";"-";"25";"2100";"3800"
"São Pedro da Serra (RS)";"163";"-";"10";"110";"-"
"São Pedro das Missões (RS)";"11164";"-";"40";"800";"5500"
"São Pedro do Butiá (RS)";"8259";"-";"15";"1020";"4520"
"São Pedro do Sul (RS)";"27944";"-";"100";"1715";"20000"
"São Sebastião do Caí (RS)";"685";"-";"20";"65";"-"
"São Sepé (RS)";"96915";"-";"10";"3130";"73500"
"São Valentim (RS)";"5893";"-";"10";"950";"3900"
"São Valentim do Sul (RS)";"2006";"-";"20";"400";"1000"
"São Valério do Sul (RS)";"9677";"-";"5";"832";"5832"
"São Vendelino (RS)";"106";"-";"13";"40";"-"
"São Vicente do Sul (RS)";"45895";"-";"-";"500";"35000"
"Sapiranga (RS)";"512";"-";"13";"77";"-"
"Sapucaia do Sul (RS)";"50";"-";"-";"30";"15"
"Sarandi (RS)";"29115";"-";"8";"2200";"18210"
"Seberi (RS)";"21668";"-";"50";"3800";"11880"
"Sede Nova (RS)";"12048";"-";"10";"700";"6500"
"Segredo (RS)";"12308";"-";"10";"2000";"5900"
"Selbach (RS)";"16711";"-";"2";"1280";"10180"
"Senador Salgado Filho (RS)";"13185";"-";"2";"718";"8740"
"Sentinela do Sul (RS)";"6603";"-";"25";"400";"2300"
"Serafina Corrêa (RS)";"6339";"-";"3";"1550";"3650"
"Sério (RS)";"704";"-";"8";"330";"4"
"Sertão (RS)";"52589";"-";"-";"3800";"31000"
"Sertão Santana (RS)";"5754";"-";"50";"1050";"950"
"Sete de Setembro (RS)";"11490";"-";"25";"850";"7500"
"Severiano de Almeida (RS)";"6819";"-";"15";"1200";"4000"
"Silveira Martins (RS)";"5693";"-";"15";"405";"4500"
"Sinimbu (RS)";"8293";"-";"70";"2800";"1500"
"Sobradinho (RS)";"6574";"-";"2";"1200";"2350"
"Soledade (RS)";"61665";"-";"-";"1500";"51000"
"Tabaí (RS)";"129";"-";"-";"45";"-"
"Tapejara (RS)";"25040";"-";"6";"1530";"14720"
"Tapera (RS)";"21521";"-";"2";"810";"13490"
"Tapes (RS)";"32870";"-";"-";"140";"14580"
"Taquara (RS)";"1962";"-";"150";"50";"50"
"Taquari (RS)";"4243";"-";"-";"1000";"350"
"Taquaruçu do Sul (RS)";"4695";"-";"20";"1100";"2800"
"Tavares (RS)";"4427";"-";"-";"400";"1313"
"Tenente Portela (RS)";"27218";"-";"50";"3000";"15000"
"Terra de Areia (RS)";"1379";"-";"20";"90";"-"
"Teutônia (RS)";"2467";"-";"25";"1330";"700"
"Tio Hugo (RS)";"8933";"-";"4";"100";"7000"
"Tiradentes do Sul (RS)";"12611";"-";"25";"3000";"6000"
"Toropi (RS)";"5239";"-";"6";"1200";"2550"
"Torres (RS)";"4114";"-";"5";"80";"450"
"Tramandaí (RS)";"881";"-";"-";"2";"350"
"Travesseiro (RS)";"773";"-";"45";"275";"350"
"Três Arroios (RS)";"7937";"-";"50";"2320";"3640"
"Três Cachoeiras (RS)";"3417";"-";"10";"60";"-"
"Três Coroas (RS)";"428";"-";"10";"150";"-"
"Três de Maio (RS)";"40564";"-";"30";"5000";"21030"
"Três Forquilhas (RS)";"984";"-";"30";"95";"-"
"Três Palmeiras (RS)";"13549";"-";"10";"500";"9000"
"Três Passos (RS)";"17088";"-";"40";"2800";"9000"
"Trindade do Sul (RS)";"16800";"-";"10";"1000";"11200"
"Triunfo (RS)";"13047";"-";"-";"1600";"2300"
"Tucunduva (RS)";"19992";"-";"10";"5200";"10540"
"Tunas (RS)";"11018";"-";"2";"1100";"6500"
"Tupanci do Sul (RS)";"9590";"-";"-";"1250";"6400"
"Tupanciretã (RS)";"174978";"-";"10";"4800";"147919"
"Tupandi (RS)";"754";"-";"10";"65";"-"
"Tuparendi (RS)";"20817";"-";"10";"3344";"13544"
"Turuçu (RS)";"8486";"-";"-";"1200";"5500"
"Ubiretama (RS)";"7121";"-";"30";"250";"5100"
"União da Serra (RS)";"5335";"-";"2";"1700";"2800"
"Unistalda (RS)";"15937";"-";"75";"500";"12000"
"Uruguaiana (RS)";"76984";"-";"-";"255";"4100"
"Vacaria (RS)";"107626";"-";"-";"11600";"68000"
"Vale Verde (RS)";"13151";"-";"8";"350";"10000"
"Vale do Sol (RS)";"12146";"-";"20";"4000";"1050"
"Vale Real (RS)";"560";"-";"5";"40";"-"
"Vanini (RS)";"2838";"-";"-";"500";"1980"
"Venâncio Aires (RS)";"30093";"-";"150";"9500";"6800"
"Vera Cruz (RS)";"8854";"-";"200";"3050";"1000"
"Veranópolis (RS)";"3893";"-";"23";"600";"1500"
"Vespasiano Corrêa (RS)";"3496";"-";"12";"700";"2200"
"Viadutos (RS)";"15799";"-";"45";"2700";"10300"
"Viamão (RS)";"30107";"-";"20";"330";"10500"
"Vicente Dutra (RS)";"13057";"-";"30";"3000";"5500"
"Victor Graeff (RS)";"24931";"-";"6";"1200";"15800"
"Vila Flores (RS)";"2023";"-";"1";"900";"800"
"Vila Lângaro (RS)";"13877";"-";"2";"1050";"9420"
"Vila Maria (RS)";"13314";"-";"-";"800";"8500"
"Vila Nova do Sul (RS)";"17802";"-";"1";"1000";"14000"
"Vista Alegre (RS)";"2939";"-";"15";"600";"1600"
"Vista Alegre do Prata (RS)";"2100";"-";"2";"450";"1350"
"Vista Gaúcha (RS)";"5795";"-";"5";"1000";"3800"
"Vitória das Missões (RS)";"15938";"-";"15";"2300";"10450"
"Westfália (RS)";"356";"-";"2";"150";"130"
"Xangri-lá (RS)";"371";"-";"-";"-";"-"
"Água Clara (MS)";"5435";"-";"-";"350";"4306"
"Alcinópolis (MS)";"17503";"-";"-";"6600";"8400"
"Amambai (MS)";"213548";"-";"2025";"76000";"130000"
"Anastácio (MS)";"34052";"-";"9";"11570";"22271"
"Anaurilândia (MS)";"57276";"-";"3533";"9500";"39780"
"Angélica (MS)";"69238";"-";"37117";"11000";"18080"
"Antônio João (MS)";"86519";"-";"-";"25000";"55000"
"Aparecida do Taboado (MS)";"34214";"-";"24323";"396";"3009"
"Aquidauana (MS)";"3838";"-";"13";"34";"3072"
"Aral Moreira (MS)";"207680";"-";"-";"80000";"121000"
"Bandeirantes (MS)";"144865";"-";"-";"19635";"107804"
"Bataguassu (MS)";"25185";"-";"-";"5977";"16970"
"Batayporã (MS)";"55483";"-";"9902";"14000";"29250"
"Bela Vista (MS)";"93558";"-";"8";"22555";"69500"
"Bodoquena (MS)";"22013";"-";"24";"5029";"15229"
"Bonito (MS)";"124196";"-";"15";"40000";"68000"
"Brasilândia (MS)";"9048";"-";"4061";"146";"2824"
"Caarapó (MS)";"226082";"-";"19029";"96000";"110400"
"Camapuã (MS)";"38092";"-";"6";"5360";"32000"
"Campo Grande (MS)";"171959";"-";"1753";"39539";"127634"
"Caracol (MS)";"21017";"-";"20";"5700";"13968"
"Cassilândia (MS)";"29499";"-";"2891";"3180";"16220"
"Chapadão do Sul (MS)";"207988";"-";"29112";"49200";"115000"
"Corguinho (MS)";"1150";"-";"10";"310";"748"
"Coronel Sapucaia (MS)";"42369";"-";"-";"11020";"29000"
"Corumbá (MS)";"4835";"-";"37";"1600";"2400"
"Costa Rica (MS)";"209672";"-";"56021";"46450";"88000"
"Coxim (MS)";"22185";"-";"10";"6160";"15800"
"Deodápolis (MS)";"35946";"-";"6157";"10200";"16240"
"Dois Irmãos do Buriti (MS)";"40373";"-";"-";"15174";"24204"
"Douradina (MS)";"33325";"-";"239";"15000";"17500"
"Dourados (MS)";"446242";"-";"22531";"186200";"230000"
"Eldorado (MS)";"39038";"4";"2014";"6900";"25000"
"Fátima do Sul (MS)";"28528";"-";"1194";"12540";"14029"
"Figueirão (MS)";"4106";"-";"-";"16";"4000"
"Glória de Dourados (MS)";"13282";"-";"3973";"2000";"3561"
"Guia Lopes da Laguna (MS)";"49884";"-";"15";"19000";"28000"
"Iguatemi (MS)";"79877";"-";"7922";"26600";"40000"
"Inocência (MS)";"4208";"-";"-";"-";"2030"
"Itaporã (MS)";"179404";"-";"329";"86100";"91560"
"Itaquiraí (MS)";"107722";"-";"10291";"29030";"61500"
"Ivinhema (MS)";"90985";"145";"42559";"14000";"28000"
"Japorã (MS)";"7989";"1";"-";"800";"2400"
"Jaraguari (MS)";"58856";"-";"10";"9880";"46902"
"Jardim (MS)";"45316";"-";"15";"13250";"29500"
"Jateí (MS)";"81011";"-";"25448";"20000";"32000"
"Juti (MS)";"60576";"-";"20345";"15300";"24000"
"Ladário (MS)";"25";"-";"6";"-";"-"
"Laguna Carapã (MS)";"202516";"-";"2143";"80530";"117530"
"Maracaju (MS)";"590207";"-";"3020";"250000";"330000"
"Miranda (MS)";"12083";"-";"15";"1600";"9271"
"Mundo Novo (MS)";"14733";"1";"-";"2800";"9200"
"Naviraí (MS)";"217286";"-";"21504";"75000";"118000"
"Nioaque (MS)";"39655";"-";"5";"12320";"27036"
"Nova Alvorada do Sul (MS)";"203412";"-";"93895";"33000";"75000"
"Nova Andradina (MS)";"133490";"-";"53400";"19700";"50780"
"Novo Horizonte do Sul (MS)";"39033";"4";"15386";"9045";"13000"
"Paraíso das Águas (MS)";"128091";"-";"18016";"2450";"106000"
"Paranaíba (MS)";"24466";"-";"12950";"685";"6100"
"Paranhos (MS)";"31874";"-";"-";"5500";"24000"
"Pedro Gomes (MS)";"29583";"-";"-";"4500";"24200"
"Ponta Porã (MS)";"561602";"-";"11306";"190030";"322000"
"Porto Murtinho (MS)";"14916";"-";"5";"4250";"9800"
"Ribas do Rio Pardo (MS)";"31571";"-";"5";"4933";"26276"
"Rio Brilhante (MS)";"336799";"-";"69932";"110000";"152000"
"Rio Negro (MS)";"4221";"-";"-";"690";"3420"
"Rio Verde de Mato Grosso (MS)";"46398";"-";"-";"4677";"39309"
"Rochedo (MS)";"15573";"-";"15";"2300";"13112"
"Santa Rita do Pardo (MS)";"18085";"-";"-";"1285";"8147"
"São Gabriel do Oeste (MS)";"197853";"-";"-";"71200";"123530"
"Sete Quedas (MS)";"56385";"-";"-";"20000";"35000"
"Selvíria (MS)";"4782";"-";"-";"1081";"2811"
"Sidrolândia (MS)";"464669";"4";"5014";"189000";"270000"
"Sonora (MS)";"108781";"-";"20498";"20751";"66000"
"Tacuru (MS)";"23614";"-";"-";"5500";"17000"
"Taquarussu (MS)";"20539";"-";"5063";"4367";"7800"
"Terenos (MS)";"56891";"-";"5";"8000";"42500"
"Três Lagoas (MS)";"1371";"-";"419";"-";"520"
"Vicentina (MS)";"22285";"-";"6967";"7006";"8106"
"Acorizal (MT)";"208";"-";"10";"-";"-"
"Água Boa (MT)";"308570";"-";"-";"76000";"230000"
"Alta Floresta (MT)";"128339";"200";"-";"46489";"77483"
"Alto Araguaia (MT)";"64845";"-";"2518";"15000";"45422"
"Alto Boa Vista (MT)";"55734";"-";"-";"23039";"32150"
"Alto Garças (MT)";"192630";"-";"15";"60000";"130000"
"Alto Paraguai (MT)";"11669";"-";"-";"4000";"7287"
"Alto Taquari (MT)";"138045";"-";"34570";"42250";"58000"
"Apiacás (MT)";"7546";"7";"-";"1500";"3896"
"Araguaiana (MT)";"14110";"-";"-";"2064";"11332"
"Araguainha (MT)";"2797";"-";"25";"500";"2050"
"Araputanga (MT)";"2573";"-";"6";"2080";"382"
"Arenápolis (MT)";"11612";"-";"1000";"4500";"6093"
"Aripuanã (MT)";"27057";"700";"140";"12830";"12500"
"Barão de Melgaço (MT)";"177";"-";"22";"50";"-"
"Barra do Bugres (MT)";"58675";"2";"53700";"1600";"1403"
"Barra do Garças (MT)";"80624";"-";"-";"17000";"61852"
"Bom Jesus do Araguaia (MT)";"238618";"-";"-";"90008";"135987"
"Brasnorte (MT)";"476259";"-";"20";"162078";"282695"
"Cáceres (MT)";"17641";"-";"1240";"3400";"12434"
"Campinápolis (MT)";"60520";"-";"-";"10000";"50000"
"Campo Novo do Parecis (MT)";"752065";"-";"32975";"141300";"408000"
"Campo Verde (MT)";"460374";"-";"100";"112000";"260000"
"Campos de Júlio (MT)";"406864";"-";"4134";"109000";"213735"
"Canabrava do Norte (MT)";"72000";"-";"-";"23000";"49000"
"Canarana (MT)";"452510";"-";"-";"110000";"320000"
"Carlinda (MT)";"44749";"50";"-";"15626";"26044"
"Castanheira (MT)";"4167";"35";"-";"815";"2600"
"Chapada dos Guimarães (MT)";"66615";"-";"30";"20000";"37470"
"Cláudia (MT)";"216400";"-";"-";"95000";"115000"
"Cocalinho (MT)";"22580";"-";"-";"3750";"18500"
"Colíder (MT)";"58371";"-";"-";"15862";"39764"
"Colniza (MT)";"11103";"5250";"155";"3360";"1000"
"Comodoro (MT)";"200257";"8";"30";"62446";"126882"
"Confresa (MT)";"124407";"-";"-";"48000";"76227"
"Conquista D'Oeste (MT)";"13409";"-";"-";"1230";"11754"
"Cotriguaçu (MT)";"10235";"500";"115";"6000";"3000"
"Cuiabá (MT)";"2361";"-";"120";"580";"1290"
"Curvelândia (MT)";"2383";"-";"2176";"35";"-"
"Denise (MT)";"55599";"-";"47650";"1527";"5990"
"Diamantino (MT)";"756067";"-";"5150";"246356";"402304"
"Dom Aquino (MT)";"79005";"-";"-";"17000";"40000"
"Feliz Natal (MT)";"275040";"-";"-";"120000";"150000"
"Figueirópolis D'Oeste (MT)";"1107";"-";"-";"190";"900"
"Gaúcha do Norte (MT)";"271222";"-";"30";"75000";"190000"
